"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2013","Transport (COICOP 07)","Base 2015=100","107.3"
"Harmonised Index of Consumer Prices","2013","Purchase of vehicles (COICOP 07.1)","Base 2015=100","105.9"
"Harmonised Index of Consumer Prices","2013","Motor cars (COICOP 07.1.1)","Base 2015=100","105.8"
"Harmonised Index of Consumer Prices","2013","Motor cycles, bicycles and animal drawn vehicles (COICOP 07.1.2_3_4)","Base 2015=100","105.8"
"Harmonised Index of Consumer Prices","2013","Operation of personal transport equipment (COICOP 07.2)","Base 2015=100","112"
"Harmonised Index of Consumer Prices","2013","Spare parts and accessories for personal transport equipment (COICOP 07.2.1)","Base 2015=100","101.4"
"Harmonised Index of Consumer Prices","2013","Fuels and lubricants for personal transport equipment (COICOP 07.2.2)","Base 2015=100","116.5"
"Harmonised Index of Consumer Prices","2013","Maintenance and repair of personal transport equipment (COICOP 07.2.3)","Base 2015=100","100.1"
"Harmonised Index of Consumer Prices","2013","Other services in respect of personal transport equipment (COICOP 07.2.4)","Base 2015=100","100.5"
"Harmonised Index of Consumer Prices","2013","Transport services (COICOP 07.3)","Base 2015=100","96.2"
"Harmonised Index of Consumer Prices","2013","Passenger transport by railway (COICOP 07.3.1)","Base 2015=100","91.5"
"Harmonised Index of Consumer Prices","2013","Passenger transport by road (COICOP 07.3.2)","Base 2015=100","95.3"
"Harmonised Index of Consumer Prices","2013","Passenger transport by air (COICOP 07.3.3)","Base 2015=100","101.9"
"Harmonised Index of Consumer Prices","2013","Passenger transport by sea and inland waterway (COICOP 07.3.4)","Base 2015=100","97.6"
"Harmonised Index of Consumer Prices","2013","Combined passenger transport (COICOP 07.3.5)","Base 2015=100","91.7"
"Harmonised Index of Consumer Prices","2013","Other purchased transport services (COICOP 07.3.6)","Base 2015=100","97.2"
"Harmonised Index of Consumer Prices","2013","Communications (COICOP 08)","Base 2015=100","101.3"
"Harmonised Index of Consumer Prices","2013","Postal services (COICOP 08.1)","Base 2015=100","85.7"
"Harmonised Index of Consumer Prices","2013","Telephone and telefax equipment and services (COICOP 08.2_3)","Base 2015=100","102"
"Harmonised Index of Consumer Prices","2013","Recreation and culture (COICOP 09)","Base 2015=100","100.9"
"Harmonised Index of Consumer Prices","2013","Audio-visual, photographic and information processing equipment (COICOP 09.1)","Base 2015=100","119"
"Harmonised Index of Consumer Prices","2013","Equipment for the reception, recording and reproduction of sound and picture (COICOP 09.1.1)","Base 2015=100","119.4"
"Harmonised Index of Consumer Prices","2013","Photographic and cinematographic equipment and optical instruments (COICOP 09.1.2)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2013","Information processing equipment (COICOP 09.1.3)","Base 2015=100","138.2"
"Harmonised Index of Consumer Prices","2013","Recording media (COICOP 09.1.4)","Base 2015=100","109.9"
"Harmonised Index of Consumer Prices","2013","Repair of audio-visual, photographic and information processing equipment (COICOP 09.1.5)","Base 2015=100","98.5"
"Harmonised Index of Consumer Prices","2013","Other major durables for recreation and culture (COICOP 09.2)","Base 2015=100","101.2"
"Harmonised Index of Consumer Prices","2013","Major durables for indoor and outdoor recreation including musical instruments (COICOP 09.2.1_2)","Base 2015=100","101.2"
"Harmonised Index of Consumer Prices","2013","Maintenance and repair of other major durables for recreation and culture (COICOP 09.2.3)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2013","Other recreational items and equipment, gardens and pets (COICOP 09.3)","Base 2015=100","107.1"
"Harmonised Index of Consumer Prices","2013","Games, toys and hobbies (COICOP 09.3.1)","Base 2015=100","108.7"
"Harmonised Index of Consumer Prices","2013","Equipment for sport, camping and open-air recreation (COICOP 09.3.2)","Base 2015=100","114.5"
"Harmonised Index of Consumer Prices","2013","Gardens, plants and flowers (COICOP 09.3.3)","Base 2015=100","115.1"
"Harmonised Index of Consumer Prices","2013","Pets and related products; veterinary and other services for pets (COICOP 09.3.4_5)","Base 2015=100","98.6"
"Harmonised Index of Consumer Prices","2013","Recreational and cultural services (COICOP 09.4)","Base 2015=100","96.9"
"Harmonised Index of Consumer Prices","2013","Recreational and sporting services (COICOP 09.4.1)","Base 2015=100","98.7"
