"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Ireland","Euro Million","142118.862659"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Northern & Western","Euro Million","20053.9849390218"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Southern","Euro Million","42223.0043054989"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Eastern & Midland","Euro Million","79841.8734144793"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2024","Ireland","Euro Million","152724.439041"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2024","Northern & Western","Euro Million","21581.5248017345"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2024","Southern","Euro Million","45301.0850752277"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2024","Eastern & Midland","Euro Million","85841.8291640378"
"Income of Self Employed","2000","Ireland","Euro Million","9696.89"
"Income of Self Employed","2000","Northern & Western","Euro Million","1717.33"
"Income of Self Employed","2000","Southern","Euro Million","3759.73"
"Income of Self Employed","2000","Eastern & Midland","Euro Million","4219.83"
"Income of Self Employed","2001","Ireland","Euro Million","10608.7"
"Income of Self Employed","2001","Northern & Western","Euro Million","1885.71"
"Income of Self Employed","2001","Southern","Euro Million","4116.91"
"Income of Self Employed","2001","Eastern & Midland","Euro Million","4606.08"
"Income of Self Employed","2002","Ireland","Euro Million","9921.35"
"Income of Self Employed","2002","Northern & Western","Euro Million","1756.64"
"Income of Self Employed","2002","Southern","Euro Million","3846.43"
"Income of Self Employed","2002","Eastern & Midland","Euro Million","4318.28"
"Income of Self Employed","2003","Ireland","Euro Million","10828.42"
"Income of Self Employed","2003","Northern & Western","Euro Million","1911.12"
"Income of Self Employed","2003","Southern","Euro Million","4195.04"
"Income of Self Employed","2003","Eastern & Midland","Euro Million","4722.26"
"Income of Self Employed","2004","Ireland","Euro Million","11892.12"
"Income of Self Employed","2004","Northern & Western","Euro Million","2136.6"
"Income of Self Employed","2004","Southern","Euro Million","4627"
"Income of Self Employed","2004","Eastern & Midland","Euro Million","5128.52"
"Income of Self Employed","2005","Ireland","Euro Million","13522.62"
"Income of Self Employed","2005","Northern & Western","Euro Million","2365.25"
"Income of Self Employed","2005","Southern","Euro Million","5226.9"
"Income of Self Employed","2005","Eastern & Midland","Euro Million","5930.47"
"Income of Self Employed","2006","Ireland","Euro Million","14174.21"
"Income of Self Employed","2006","Northern & Western","Euro Million","2477.58"
"Income of Self Employed","2006","Southern","Euro Million","5479.19"
"Income of Self Employed","2006","Eastern & Midland","Euro Million","6217.44"
"Income of Self Employed","2007","Ireland","Euro Million","15541.29"
"Income of Self Employed","2007","Northern & Western","Euro Million","2928.35"
"Income of Self Employed","2007","Southern","Euro Million","6118.35"
"Income of Self Employed","2007","Eastern & Midland","Euro Million","6494.59"
"Income of Self Employed","2008","Ireland","Euro Million","14891.55"
"Income of Self Employed","2008","Northern & Western","Euro Million","2644.67"
"Income of Self Employed","2008","Southern","Euro Million","5957.31"
"Income of Self Employed","2008","Eastern & Midland","Euro Million","6289.57"
"Income of Self Employed","2009","Ireland","Euro Million","12063.31"
"Income of Self Employed","2009","Northern & Western","Euro Million","2248.1"
"Income of Self Employed","2009","Southern","Euro Million","4807.91"
"Income of Self Employed","2009","Eastern & Midland","Euro Million","5007.3"
"Income of Self Employed","2010","Ireland","Euro Million","11508.2"
"Income of Self Employed","2010","Northern & Western","Euro Million","2107.93"
"Income of Self Employed","2010","Southern","Euro Million","4670.14"
"Income of Self Employed","2010","Eastern & Midland","Euro Million","4730.13"
"Income of Self Employed","2011","Ireland","Euro Million","11611.14"
"Income of Self Employed","2011","Northern & Western","Euro Million","2354.12"
"Income of Self Employed","2011","Southern","Euro Million","4715.13"
"Income of Self Employed","2011","Eastern & Midland","Euro Million","4541.89"
"Income of Self Employed","2012","Ireland","Euro Million","10670.86"
"Income of Self Employed","2012","Northern & Western","Euro Million","1938.02"
"Income of Self Employed","2012","Southern","Euro Million","4686.41"
"Income of Self Employed","2012","Eastern & Midland","Euro Million","4046.43"
"Income of Self Employed","2013","Ireland","Euro Million","10615.2510313088"
"Income of Self Employed","2013","Northern & Western","Euro Million","1919.71247303588"
"Income of Self Employed","2013","Southern","Euro Million","4505.56023314346"
"Income of Self Employed","2013","Eastern & Midland","Euro Million","4189.97832512946"
"Income of Self Employed","2014","Ireland","Euro Million","11231.014098992"
"Income of Self Employed","2014","Northern & Western","Euro Million","2034.99102852788"
"Income of Self Employed","2014","Southern","Euro Million","4733.36579714833"
"Income of Self Employed","2014","Eastern & Midland","Euro Million","4462.65727331579"
"Income of Self Employed","2015","Ireland","Euro Million","11977.0315514391"
"Income of Self Employed","2015","Northern & Western","Euro Million","2129.83604959969"
"Income of Self Employed","2015","Southern","Euro Million","4932.03206754431"
"Income of Self Employed","2015","Eastern & Midland","Euro Million","4915.16343429511"
"Income of Self Employed","2016","Ireland","Euro Million","12719.0416412061"
"Income of Self Employed","2016","Northern & Western","Euro Million","2250.0367830575"
"Income of Self Employed","2016","Southern","Euro Million","5187.96145259905"
"Income of Self Employed","2016","Eastern & Midland","Euro Million","5281.04340554955"
"Income of Self Employed","2017","Ireland","Euro Million","13477.6319891556"
"Income of Self Employed","2017","Northern & Western","Euro Million","2376.24656068262"
"Income of Self Employed","2017","Southern","Euro Million","5557.5512607426"
"Income of Self Employed","2017","Eastern & Midland","Euro Million","5543.83416773038"
"Income of Self Employed","2018","Ireland","Euro Million","13306.02"
